Si index,x,y,z,Fe index,x,y,z,d1 (Å),d2 (Å),Replaced
133,7.1631,14.7876,6.8969,3,7.09576686,2.1885648,5.172675,2.786988,5.587024,Yes
163,19.1016,7.3938,13.7938,9,0.06733314,9.5823648,12.069574999999999,2.786988,5.536432,Yes
174,14.3262,7.3938,3.44845,5,14.39353314,9.5823648,5.172675,2.786988,6.007879,Yes
184,4.7754,7.3938,10.34535,11,4.708066860000001,5.2052352,8.621125,2.786988,5.470709,Yes
96,2.3877,14.7876,3.44845,2,2.32036686,2.1885648,5.172675,2.786988,2.904006,No
97,7.1631,14.7876,3.44845,3,7.09576686,2.1885648,5.172675,2.786988,3.012696,No
99,16.713900000000002,14.7876,3.44845,0,16.78123314,12.5990352,1.724225,2.786988,5.470709,No
100,2.3877,4.9291999950708,3.44845,2,2.32036686,2.1885648,5.172675,3.238606,5.478047,No
101,7.1631,4.9291999950708,3.44845,3,7.09576686,2.1885648,5.172675,3.238606,5.536432,No
102,11.938500000000001,4.9291999950708,3.44845,5,14.39353314,9.5823648,5.172675,5.536432,5.675990,No
103,16.713900000000002,4.9291999950708,3.44845,5,14.39353314,9.5823648,5.172675,5.478047,5.714011,No
104,2.3877,9.8584000049292,3.44845,9,0.06733314,9.5823648,12.069574999999999,5.675990,5.714011,No
105,7.1631,9.8584000049292,3.44845,8,9.618133140000001,9.5823648,12.069574999999999,5.732360,6.007879,No
106,11.938500000000001,9.8584000049292,3.44845,5,14.39353314,9.5823648,5.172675,3.012696,5.675990,No
107,16.713900000000002,9.8584000049292,3.44845,5,14.39353314,9.5823648,5.172675,2.904006,3.238606,No
108,2.3877,14.7876,10.34535,1,2.4550331400000003,2.7406351950707997,8.621125,3.238606,5.617020,No
109,7.1631,14.7876,10.34535,7,9.618133140000001,4.6531648049292,12.069574999999999,5.536432,5.617020,No
110,11.938500000000001,14.7876,10.34535,6,14.39353314,14.5115647950708,12.069574999999999,3.012696,5.478047,No
111,16.713900000000002,14.7876,10.34535,6,14.39353314,14.5115647950708,12.069574999999999,2.904006,3.238606,No
112,2.3877,4.9291999950708,10.34535,1,2.4550331400000003,2.7406351950707997,8.621125,2.786988,2.904006,No
114,11.938500000000001,4.9291999950708,10.34535,7,9.618133140000001,4.6531648049292,12.069574999999999,2.904006,5.478047,No
115,16.713900000000002,4.9291999950708,10.34535,9,0.06733314,9.5823648,12.069574999999999,5.536432,5.587024,No
116,2.3877,9.8584000049292,10.34535,9,0.06733314,9.5823648,12.069574999999999,2.904006,5.478047,No
